Customer_id,Date_disb,pay_type,area_code,pin_code,state,dealer,product_code,tenure,roi,emi,proc_fee,asset_cost,loan_amt,gender,qualification,employ_type,resid_type,age,cibil_score,net_salary,net_irr,fraud
939,12/30/2019,ADM,3038,232101,UP,ASC,SC,0.352941176,0.318061467,0.162397158,0.828405665,80000,64349,M,OTHERS,SEP,O,0.612244898,,-0.092622763,0.788632144,0
940,12/31/2019,ACH,3091,177048,HP,DEALER,SC,0.588235294,0.675278884,0.058713538,-1.204100548,67807,57700,M,OTHERS,SEP,O,0.285714286,,-0.092622763,-0.164797409,0
941,10-12-2019,ACH,3030,384151,GJ,DEALER,MC,0.568627451,0.278370643,0.085452506,0.150619764,68800,58000,M,OTHERS,SAL,O,0.12244898,,0.158169082,0.237833314,1
942,12-12-2019,ACH,3030,363310,GJ,ASC,MC,0.352941176,0.060071111,0.11499626,0.062916312,68816,55300,M,OTHERS,SEP,O,0.408163265,-0.066078622,-0.343414608,0.746758548,0
943,12/13/2019,ADM,3030,382440,GJ,ASC,SC,0.352941176,-0.118537598,0.165762902,-1.726063812,80000,66200,M,HSC,SEP,O,0.102040816,,-0.343414608,-0.957174673,1
944,04-12-2019,ACH,3030,384151,GJ,DEALER,SC,0.470588235,0.278370643,0.09367988,0.215332991,72100,60000,M,OTHERS,SEP,O,0.755102041,0.035824721,0.158169082,0.224949131,0
945,12/26/2019,ADM,3026,392001,GJ,DEALER,SC,0.529411765,0.278370643,0.108638743,0.331987097,74980,63600,F,PG,SAL,O,0.102040816,,-0.594206452,0.218507039,0
946,12/17/2019,ADM,3026,390005,GJ,DEALER,SC,0.588235294,0.834042181,0.106394914,0.6581077,82000,70000,M,UG,SAL,O,0.102040816,,-0.092622763,0.772526915,0
947,06-12-2019,ADM,3031,370001,GJ,DEALER,SC,0.352941176,0.060071111,0.161742708,0.487809735,80978,64900,M,HSC,SEP,O,0.448979592,0.927478975,0.408960927,0.218507039,0
948,12/17/2019,ACH,3032,396191,GJ,DEALER,SC,0.666666667,0.746722368,0.116305161,0.798603521,85690,73000,M,OTHERS,SEP,O,0.244897959,-0.601071175,-0.343414608,0.663011358,0
949,12/17/2019,ACH,3031,362150,GJ,DEALER,SC,0.470588235,0.595897236,0.097419596,0.31751177,72468,60000,M,SSC,SEP,O,0.775510204,,0.158169082,0.698442862,0
950,12/29/2019,ADM,3031,362265,GJ,DEALER,MC,0.549019608,0.040225698,0.062266268,-1.231348223,65721,53000,M,HSC,SEP,O,0.142857143,,-0.092622763,-0.280755058,1
951,12/31/2019,ACH,3031,363641,GJ,DEALER,MC,0.352941176,-0.098692186,0.111817502,-1.231348223,65700,55000,M,HSC,SAL,O,0.306122449,0.137728064,-0.443731345,-0.296860287,0
952,12/28/2019,ACH,3031,362037,GJ,DEALER,MC,0.666666667,1.290486658,0.059181002,0.181273398,65700,56000,M,OTHERS,SEP,O,0.204081633,,-0.544048083,1.381304569,0
953,02-12-2019,ADM,3036,321025,RJ,ASC,MC,0.352941176,-0.158228422,0.109106208,0.147213805,63000,54579,M,SSC,SEP,O,0.367346939,,-0.443731345,0.250717497,0
954,11-12-2019,ACH,3036,325205,RJ,DEALER,MC,0.352941176,-0.197919246,0.140613313,0.274937279,73000,61200,M,OTHERS,SEP,O,0.204081633,-0.193457802,-0.092622763,0.063896842,0
955,12/21/2019,ADM,3036,323024,RJ,ASC,MC,0.450980392,0.43713394,0.122288706,-0.108233143,66500,55948,M,HSC,SEP,O,0.734693878,,0.158169082,0.450422336,0
